#Coverage (X)	Coverage
1.0	4.80407299455949
2.0	2.571293479909855
3.0	1.7883705187645518
4.0	1.4097221429250624
5.0	1.1830487645231926
6.0	1.026561488405548
7.0	0.9087697006126518
8.0	0.8140661327619796
9.0	0.7351496939939182
10.0	0.6682853149792436
11.0	0.6106318051115522
12.0	0.5606564814534636
13.0	0.5166731545235024
14.0	0.4779272304287616
15.0	0.44357526621644183
16.0	0.4129853119517435
17.0	0.3854659650698693
18.0	0.3607514481230254
19.0	0.33838736268063485
20.0	0.31816679746251
21.0	0.2997162492011114
22.0	0.2828201196413289
23.0	0.267372479004635
24.0	0.2531908641638694
25.0	0.2401860228661974
26.0	0.22818505865303962
27.0	0.21717488608115332
28.0	0.2069750946419333
29.0	0.19750904102502886
30.0	0.18876902791089378
31.0	0.1805666542401525
32.0	0.1729553614027992
33.0	0.16586008220630788
34.0	0.1592258724506621
35.0	0.15297770159723711
36.0	0.1470712550777904
37.0	0.1415460457993163
38.0	0.13629647386842692
39.0	0.13133709088444334
40.0	0.1267347902196292
41.0	0.1224059643221409
42.0	0.1182728702645619
43.0	0.11436380485969266
44.0	0.11063243757463681
45.0	0.10711520238859862
46.0	0.10377727809409976
47.0	0.10057544973996357
48.0	0.09756686076035237
49.0	0.0946791563515319
50.0	0.09194862387707303
51.0	0.0893210888689282
