#Mapping quality	mapping quality
0.0	2838780.0
1.0	1.6149777E7
2.0	30582.0
3.0	23845.0
4.0	20934.0
5.0	19405.0
6.0	18624.0
7.0	15844.0
8.0	17131.0
9.0	18041.0
10.0	24991.0
11.0	8443.0
12.0	31475.0
13.0	7376.0
14.0	10856.0
15.0	47025.0
16.0	6470.0
17.0	16528.0
18.0	9062.0
19.0	7319.0
20.0	87365.0
21.0	5753.0
22.0	9624.0
23.0	12021.0
24.0	24698.0
25.0	9187.0
26.0	14538.0
27.0	12361.0
28.0	8881.0
29.0	5118.0
30.0	222698.0
31.0	5862.0
32.0	10045.0
33.0	14681.0
34.0	15748.0
35.0	10314.0
36.0	32366.0
37.0	16624.0
38.0	13731.0
39.0	8806.0
40.0	87639.0
41.0	14136.0
42.0	15949.0
43.0	28356.0
44.0	13658.0
45.0	57595.0
46.0	29065.0
47.0	15571.0
48.0	48072.0
49.0	26578.0
50.0	49116.0
51.0	36523.0
52.0	39464.0
53.0	39510.0
54.0	44345.0
55.0	45530.0
56.0	44445.0
57.0	39699.0
58.0	30447.0
59.0	14678.0
60.0	1.10482493E8
