#Duplication rate	Coverage
1.0	4297802.0
2.0	1198732.0
3.0	439517.0
4.0	192546.0
5.0	98428.0
6.0	57483.0
7.0	36860.0
8.0	24577.0
9.0	17405.0
10.0	12882.0
11.0	9867.0
12.0	7568.0
13.0	6088.0
14.0	5072.0
15.0	4131.0
16.0	3410.0
17.0	2970.0
18.0	2484.0
19.0	2254.0
20.0	1910.0
21.0	1729.0
22.0	1428.0
23.0	1233.0
24.0	1109.0
25.0	1041.0
26.0	919.0
27.0	776.0
28.0	740.0
29.0	675.0
30.0	654.0
31.0	617.0
32.0	540.0
33.0	468.0
34.0	472.0
35.0	467.0
36.0	403.0
37.0	353.0
38.0	358.0
39.0	281.0
40.0	308.0
41.0	268.0
42.0	321.0
43.0	274.0
44.0	239.0
45.0	209.0
46.0	180.0
47.0	160.0
48.0	181.0
49.0	153.0
50.0	7535.0
