#Read position (bp)	Clipping profile
0.0	18.4473849666101
1.0	10.42045634896412
2.0	6.796400971786451
3.0	4.892200070808561
4.0	3.372791810623726
5.0	2.5137038981333397
6.0	1.9000805752585121
7.0	1.3707713249746676
8.0	0.9640799160063973
9.0	0.6820665112133901
10.0	0.44766575917764406
11.0	0.28949103295039735
12.0	0.1745797267766234
13.0	0.07981223523092136
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
52.0	0.0
53.0	0.0
54.0	0.0
55.0	0.0
56.0	0.0
57.0	0.0
58.0	0.0
59.0	0.0
60.0	0.0
61.0	0.023730024050493827
62.0	0.06104186250930889
63.0	0.11407198056427098
64.0	0.19960689040544005
65.0	0.39356740852876904
66.0	0.6463570216454445
67.0	1.0210014527963278
68.0	1.5127699576369475
69.0	2.089920767662463
70.0	3.1245803371952485
71.0	4.527627546971713
72.0	6.2696096983311165
73.0	9.750521907924455
74.0	17.91410799526315
