#Coverage (X)	Coverage
1.0	4.452397565875771
2.0	2.3167038295148217
3.0	1.5914741843754427
4.0	1.2431621177946255
5.0	1.0330914544621947
6.0	0.8868917925344135
7.0	0.7750730880559047
8.0	0.6855952304455286
9.0	0.6119209595200346
10.0	0.5496363023661672
11.0	0.4966187414458716
12.0	0.4508447980659156
13.0	0.411154596132306
14.0	0.37641443043750655
15.0	0.34592740033131975
16.0	0.3189930497349991
17.0	0.2950235600124813
18.0	0.27380131694400234
19.0	0.2546761536051889
20.0	0.23759767087994987
21.0	0.2223091814883702
22.0	0.208528890227214
23.0	0.19601150918026633
24.0	0.1846306556913504
25.0	0.17429924008787623
26.0	0.16490238903908505
27.0	0.15629356024237495
28.0	0.1483567807499071
29.0	0.1410929669092411
30.0	0.13442609852637588
31.0	0.12825112551645645
32.0	0.12252369665732488
33.0	0.11722119649107299
34.0	0.11232071632858265
35.0	0.10773498322774344
36.0	0.10342741659376031
37.0	0.09937774681850442
38.0	0.09557692038802656
39.0	0.09201888940839353
40.0	0.08864969933496525
41.0	0.08547305221192403
42.0	0.08249880793906073
43.0	0.07967781363298343
44.0	0.07701171871930512
45.0	0.07447578181377423
46.0	0.07206956306954737
47.0	0.06978719786222598
48.0	0.06761340151442141
49.0	0.06555873035007664
50.0	0.06359111220440639
51.0	0.061731842994831254
