#Mapping quality	mapping quality
0.0	2439960.0
1.0	1.4416079E7
2.0	27468.0
3.0	21252.0
4.0	17566.0
5.0	17324.0
6.0	16103.0
7.0	13793.0
8.0	14486.0
9.0	15735.0
10.0	21691.0
11.0	7883.0
12.0	29457.0
13.0	6434.0
14.0	9467.0
15.0	43203.0
16.0	5993.0
17.0	14143.0
18.0	8064.0
19.0	6374.0
20.0	77442.0
21.0	4779.0
22.0	8014.0
23.0	10258.0
24.0	22694.0
25.0	7804.0
26.0	13818.0
27.0	11234.0
28.0	8547.0
29.0	4450.0
30.0	197672.0
31.0	4808.0
32.0	8766.0
33.0	13468.0
34.0	15476.0
35.0	8798.0
36.0	30886.0
37.0	15039.0
38.0	12229.0
39.0	7283.0
40.0	83357.0
41.0	12079.0
42.0	13615.0
43.0	26022.0
44.0	11035.0
45.0	53327.0
46.0	26445.0
47.0	13178.0
48.0	43809.0
49.0	22780.0
50.0	41549.0
51.0	31347.0
52.0	36449.0
53.0	35541.0
54.0	38195.0
55.0	36644.0
56.0	34093.0
57.0	30597.0
58.0	23165.0
59.0	11746.0
60.0	1.03210397E8
