#Duplication rate	Coverage
1.0	3783904.0
2.0	996579.0
3.0	341987.0
4.0	143591.0
5.0	70947.0
6.0	40112.0
7.0	25297.0
8.0	16634.0
9.0	11974.0
10.0	8726.0
11.0	6727.0
12.0	5045.0
13.0	4185.0
14.0	3560.0
15.0	2821.0
16.0	2285.0
17.0	1965.0
18.0	1740.0
19.0	1458.0
20.0	1275.0
21.0	1088.0
22.0	981.0
23.0	856.0
24.0	789.0
25.0	690.0
26.0	599.0
27.0	544.0
28.0	549.0
29.0	531.0
30.0	429.0
31.0	404.0
32.0	367.0
33.0	327.0
34.0	314.0
35.0	272.0
36.0	275.0
37.0	270.0
38.0	233.0
39.0	247.0
40.0	216.0
41.0	196.0
42.0	185.0
43.0	131.0
44.0	168.0
45.0	184.0
46.0	176.0
47.0	150.0
48.0	127.0
49.0	119.0
50.0	5781.0
