#Read position (bp)	Clipping profile
0.0	18.068811007977885
1.0	10.569468168801627
2.0	6.8945691114907
3.0	4.973058728349685
4.0	3.4047897038921566
5.0	2.5290706584890783
6.0	1.8991251169188956
7.0	1.3689379816663743
8.0	0.9447325425111067
9.0	0.6547458157664724
10.0	0.4259702526748535
11.0	0.26267855965209025
12.0	0.1589261016848396
13.0	0.06566963991302256
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
52.0	0.0
53.0	0.0
54.0	0.0
55.0	0.0
56.0	0.0
57.0	0.0
58.0	0.0
59.0	0.0
60.0	0.0
61.0	0.025171813884623924
62.0	0.06353328670510244
63.0	0.10793227946100736
64.0	0.19933104279115477
65.0	0.382221454373533
66.0	0.6170345374005782
67.0	0.9974911782545252
68.0	1.4810500826211381
69.0	2.069476064020004
70.0	3.1318009178888
71.0	4.603469623379507
72.0	6.378964909005286
73.0	9.986708167649853
74.0	17.735261252776098
