#GC Content (%)	Sample
1.0	9.259700197363895E-6
2.0	1.4550957453000407E-5
3.0	9.259700197363897E-6
4.0	0.0
5.0	0.0
6.0	1.3228143139091279E-6
7.0	0.0
8.0	0.0
9.0	1.3228143139091279E-6
10.0	0.0
11.0	1.3228143139091279E-6
12.0	1.3228143139091279E-6
13.0	5.2912572556365115E-6
14.0	7.936885883454769E-6
15.0	1.0582514511273025E-5
16.0	2.3810657650364306E-5
17.0	1.7196586080818662E-5
18.0	3.30703578477282E-5
19.0	6.349508706763815E-5
20.0	1.190532882518215E-4
21.0	1.8387118963336877E-4
22.0	3.161526210242816E-4
23.0	5.555820118418338E-4
24.0	8.704118185522062E-4
25.0	0.0014802292172643142
26.0	0.0025993301268314364
27.0	0.0027223518580249853
28.0	0.0031681402818123615
29.0	0.0041536369456746615
30.0	0.006000285727891804
31.0	0.007794021937552582
32.0	0.009182976967157166
33.0	0.010534893195972296
34.0	0.014631649126148864
35.0	0.017689995819906768
36.0	0.018066997899370867
37.0	0.01922842886698308
38.0	0.02358313358837193
39.0	0.026169235572064277
40.0	0.026796249556857207
41.0	0.028796344799487807
42.0	0.0343892037186956
43.0	0.03631786698837511
44.0	0.03608240604049928
45.0	0.03765920070267897
46.0	0.039697657560412936
47.0	0.03996354323750866
48.0	0.03968178378864602
49.0	0.039016408188749734
50.0	0.039966188866136475
51.0	0.04295574921557112
52.0	0.03402013852511496
53.0	0.037030863903572124
54.0	0.03707583959024504
55.0	0.035323110624315444
56.0	0.032803149356318555
57.0	0.03018265420046458
58.0	0.028886296172833625
59.0	0.026522426993878016
60.0	0.021983851082855797
61.0	0.01857495859591197
62.0	0.01648888042287728
63.0	0.013885581853104116
64.0	0.01096613066230667
65.0	0.008881375303585884
66.0	0.007170976395701383
67.0	0.005698684064320524
68.0	0.004346767835505395
69.0	0.003702557264631649
70.0	0.002981623463551175
71.0	0.002310956606399246
72.0	0.0019948039853749646
73.0	0.0017395008227905034
74.0	0.0015080083178564058
75.0	0.001301649284886582
76.0	9.577175632702087E-4
77.0	6.971231434301104E-4
78.0	5.873295553756528E-4
79.0	4.709218957516495E-4
80.0	3.2673513553555455E-4
81.0	3.148298067103724E-4
82.0	2.6324004846791646E-4
83.0	1.3624987433264016E-4
84.0	9.92110735431846E-5
85.0	6.481790138154727E-5
86.0	3.1747543533819074E-5
87.0	4.1007243731182964E-5
88.0	3.7038800789455586E-5
89.0	1.851940039472779E-5
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
