#Read position (bp)	Clipping profile
0.0	26.17995929226656
1.0	11.811185968598988
2.0	6.984443306336701
3.0	4.636631383696069
4.0	2.5564133757335537
5.0	1.8796142890894763
6.0	1.3302653340044581
7.0	0.8898763359517965
8.0	0.5855955670540309
9.0	0.37970894117336296
10.0	0.2150583394355801
11.0	0.14021715682749694
12.0	0.07806962577941222
13.0	0.03756733872092016
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
52.0	0.0
53.0	0.0
54.0	0.0
55.0	0.0
56.0	0.0
57.0	0.0
58.0	0.0
59.0	0.0
60.0	0.0
61.0	0.0043290487979185345
62.0	0.01071256143213739
63.0	0.024653566035603862
64.0	0.05136159590750804
65.0	0.13530111836206402
66.0	0.2590091907907191
67.0	0.44244346188896205
68.0	0.766828626899095
69.0	1.166788711601704
70.0	1.9168147592682
71.0	2.835160094094444
72.0	3.9932907081003104
73.0	8.44619432586438
74.0	22.24250597628855
