#Mapping quality	mapping quality
0.0	1627064.0
1.0	1.2164922E7
2.0	24756.0
3.0	27556.0
4.0	23210.0
5.0	20274.0
6.0	18563.0
7.0	15546.0
8.0	15846.0
9.0	15267.0
10.0	20282.0
11.0	8179.0
12.0	24950.0
13.0	5671.0
14.0	8760.0
15.0	34235.0
16.0	4504.0
17.0	12587.0
18.0	6118.0
19.0	5047.0
20.0	59940.0
21.0	4035.0
22.0	6258.0
23.0	8632.0
24.0	17327.0
25.0	5518.0
26.0	9230.0
27.0	7494.0
28.0	5311.0
29.0	2959.0
30.0	138639.0
31.0	3495.0
32.0	6182.0
33.0	8692.0
34.0	10158.0
35.0	6099.0
36.0	20197.0
37.0	10354.0
38.0	7108.0
39.0	5197.0
40.0	58897.0
41.0	7510.0
42.0	8696.0
43.0	16719.0
44.0	6911.0
45.0	36517.0
46.0	15766.0
47.0	8727.0
48.0	27314.0
49.0	14371.0
50.0	26783.0
51.0	20094.0
52.0	21893.0
53.0	22311.0
54.0	24515.0
55.0	23779.0
56.0	24365.0
57.0	23199.0
58.0	21180.0
59.0	13513.0
60.0	8.5053143E7
