#Duplication rate	Coverage
1.0	2567239.0
2.0	747272.0
3.0	292295.0
4.0	141020.0
5.0	79153.0
6.0	49802.0
7.0	33218.0
8.0	23532.0
9.0	17789.0
10.0	13634.0
11.0	10812.0
12.0	8560.0
13.0	6956.0
14.0	5879.0
15.0	5021.0
16.0	4211.0
17.0	3541.0
18.0	3157.0
19.0	2849.0
20.0	2401.0
21.0	2195.0
22.0	1890.0
23.0	1703.0
24.0	1532.0
25.0	1381.0
26.0	1268.0
27.0	1117.0
28.0	1134.0
29.0	990.0
30.0	844.0
31.0	759.0
32.0	752.0
33.0	633.0
34.0	670.0
35.0	599.0
36.0	552.0
37.0	481.0
38.0	480.0
39.0	436.0
40.0	461.0
41.0	419.0
42.0	349.0
43.0	361.0
44.0	339.0
45.0	300.0
46.0	303.0
47.0	303.0
48.0	296.0
49.0	258.0
50.0	9913.0
