#Duplication rate	Coverage
1.0	3349334.0
2.0	952832.0
3.0	353131.0
4.0	158864.0
5.0	83801.0
6.0	49551.0
7.0	32246.0
8.0	22332.0
9.0	16002.0
10.0	12109.0
11.0	9124.0
12.0	7302.0
13.0	5988.0
14.0	4728.0
15.0	3930.0
16.0	3341.0
17.0	2768.0
18.0	2450.0
19.0	2105.0
20.0	1877.0
21.0	1582.0
22.0	1456.0
23.0	1274.0
24.0	1192.0
25.0	1010.0
26.0	938.0
27.0	844.0
28.0	733.0
29.0	636.0
30.0	603.0
31.0	558.0
32.0	565.0
33.0	507.0
34.0	443.0
35.0	390.0
36.0	414.0
37.0	349.0
38.0	343.0
39.0	324.0
40.0	285.0
41.0	298.0
42.0	267.0
43.0	296.0
44.0	244.0
45.0	237.0
46.0	215.0
47.0	177.0
48.0	181.0
49.0	175.0
50.0	6531.0
