#Mapping quality	mapping quality
0.0	1803164.0
1.0	1.4646255E7
2.0	22208.0
3.0	25444.0
4.0	26399.0
5.0	23493.0
6.0	23882.0
7.0	19161.0
8.0	19279.0
9.0	19665.0
10.0	24842.0
11.0	8998.0
12.0	28879.0
13.0	6852.0
14.0	10904.0
15.0	41699.0
16.0	5471.0
17.0	15323.0
18.0	8092.0
19.0	6282.0
20.0	74840.0
21.0	4894.0
22.0	7718.0
23.0	9856.0
24.0	20757.0
25.0	7317.0
26.0	12454.0
27.0	10374.0
28.0	7590.0
29.0	4359.0
30.0	168903.0
31.0	4992.0
32.0	8406.0
33.0	11835.0
34.0	13145.0
35.0	8075.0
36.0	27823.0
37.0	13515.0
38.0	10499.0
39.0	6597.0
40.0	75156.0
41.0	10792.0
42.0	12024.0
43.0	23038.0
44.0	10268.0
45.0	47151.0
46.0	22114.0
47.0	11055.0
48.0	37647.0
49.0	19578.0
50.0	37488.0
51.0	26384.0
52.0	29617.0
53.0	29409.0
54.0	31881.0
55.0	31967.0
56.0	32409.0
57.0	27673.0
58.0	19490.0
59.0	10024.0
60.0	1.03194492E8
