#Mapping quality	mapping quality
0.0	2979841.0
1.0	1.7317191E7
2.0	33856.0
3.0	25601.0
4.0	21983.0
5.0	20818.0
6.0	19547.0
7.0	16063.0
8.0	17269.0
9.0	19039.0
10.0	26142.0
11.0	8709.0
12.0	33702.0
13.0	7768.0
14.0	11222.0
15.0	46852.0
16.0	7080.0
17.0	15754.0
18.0	8888.0
19.0	7565.0
20.0	93378.0
21.0	6395.0
22.0	9689.0
23.0	12340.0
24.0	25349.0
25.0	9428.0
26.0	15413.0
27.0	12609.0
28.0	9436.0
29.0	5607.0
30.0	242965.0
31.0	6608.0
32.0	10537.0
33.0	15517.0
34.0	17288.0
35.0	11089.0
36.0	34530.0
37.0	16915.0
38.0	14219.0
39.0	9609.0
40.0	97440.0
41.0	14542.0
42.0	16857.0
43.0	29700.0
44.0	14396.0
45.0	60537.0
46.0	30156.0
47.0	17321.0
48.0	50651.0
49.0	28166.0
50.0	50544.0
51.0	38732.0
52.0	40914.0
53.0	42561.0
54.0	50321.0
55.0	50415.0
56.0	48955.0
57.0	45236.0
58.0	35327.0
59.0	18793.0
60.0	1.19810762E8
