#Duplication rate	Coverage
1.0	4499022.0
2.0	1336460.0
3.0	505842.0
4.0	226740.0
5.0	116870.0
6.0	67359.0
7.0	42860.0
8.0	29163.0
9.0	20735.0
10.0	15283.0
11.0	11837.0
12.0	9206.0
13.0	7115.0
14.0	5883.0
15.0	5035.0
16.0	4168.0
17.0	3408.0
18.0	2926.0
19.0	2495.0
20.0	2252.0
21.0	1950.0
22.0	1749.0
23.0	1505.0
24.0	1321.0
25.0	1167.0
26.0	1051.0
27.0	1009.0
28.0	841.0
29.0	824.0
30.0	741.0
31.0	725.0
32.0	644.0
33.0	607.0
34.0	539.0
35.0	528.0
36.0	447.0
37.0	474.0
38.0	375.0
39.0	365.0
40.0	382.0
41.0	277.0
42.0	340.0
43.0	296.0
44.0	256.0
45.0	284.0
46.0	277.0
47.0	263.0
48.0	265.0
49.0	223.0
50.0	8731.0
