#Read position (bp)	Clipping profile
0.0	18.216192136769934
1.0	10.396131301827957
2.0	6.8824311932925415
3.0	4.982219480346517
4.0	3.4355515481987555
5.0	2.5839542099953614
6.0	1.9674914235590737
7.0	1.4414237886973147
8.0	1.0309333586429552
9.0	0.7482667246338652
10.0	0.4965992746956339
11.0	0.3229273027035881
12.0	0.19724666012494585
13.0	0.08641500942222113
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
52.0	0.0
53.0	0.0
54.0	0.0
55.0	0.0
56.0	0.0
57.0	0.0
58.0	0.0
59.0	0.0
60.0	0.0
61.0	0.02671287713760423
62.0	0.06322302726550456
63.0	0.11404638090266563
64.0	0.1988540252249163
65.0	0.38553800040719916
66.0	0.6278674245265544
67.0	0.9857740534533092
68.0	1.4584924752350963
69.0	2.036761205248277
70.0	3.06057623273422
71.0	4.464877541741741
72.0	6.212542652581045
73.0	9.679016843655424
74.0	17.897933846975782
