#Mapping quality	mapping quality
0.0	2810535.0
1.0	1.6683687E7
2.0	31185.0
3.0	25103.0
4.0	21797.0
5.0	19702.0
6.0	19294.0
7.0	15206.0
8.0	15952.0
9.0	17895.0
10.0	24175.0
11.0	8298.0
12.0	30834.0
13.0	7066.0
14.0	10476.0
15.0	45124.0
16.0	6514.0
17.0	15619.0
18.0	8688.0
19.0	7052.0
20.0	90175.0
21.0	6110.0
22.0	9228.0
23.0	11981.0
24.0	24203.0
25.0	8690.0
26.0	14836.0
27.0	11639.0
28.0	8779.0
29.0	5256.0
30.0	224729.0
31.0	5857.0
32.0	9689.0
33.0	14047.0
34.0	16837.0
35.0	10202.0
36.0	32173.0
37.0	16335.0
38.0	12797.0
39.0	8633.0
40.0	93511.0
41.0	13344.0
42.0	15552.0
43.0	27919.0
44.0	12860.0
45.0	59706.0
46.0	28541.0
47.0	15981.0
48.0	47684.0
49.0	25561.0
50.0	47207.0
51.0	34998.0
52.0	36988.0
53.0	38985.0
54.0	43367.0
55.0	43214.0
56.0	42828.0
57.0	38654.0
58.0	33648.0
59.0	15323.0
60.0	1.08674493E8
