#Duplication rate	Coverage
1.0	4212618.0
2.0	1148972.0
3.0	413324.0
4.0	181134.0
5.0	92275.0
6.0	54028.0
7.0	34216.0
8.0	23485.0
9.0	16846.0
10.0	12395.0
11.0	9436.0
12.0	7508.0
13.0	6089.0
14.0	4762.0
15.0	4020.0
16.0	3383.0
17.0	2882.0
18.0	2456.0
19.0	2114.0
20.0	1823.0
21.0	1629.0
22.0	1424.0
23.0	1205.0
24.0	1164.0
25.0	985.0
26.0	926.0
27.0	756.0
28.0	745.0
29.0	699.0
30.0	561.0
31.0	605.0
32.0	480.0
33.0	456.0
34.0	464.0
35.0	414.0
36.0	404.0
37.0	354.0
38.0	323.0
39.0	316.0
40.0	325.0
41.0	301.0
42.0	283.0
43.0	261.0
44.0	247.0
45.0	176.0
46.0	230.0
47.0	217.0
48.0	213.0
49.0	186.0
50.0	8043.0
