#Read position (bp)	Clipping profile
0.0	28.928458244584803
1.0	12.86749261145464
2.0	7.0560055423302845
3.0	4.251232652579911
4.0	1.741411967600952
5.0	1.2249630879820366
6.0	0.8302685917420262
7.0	0.5324666072143648
8.0	0.35504325032121437
9.0	0.2184012244226125
10.0	0.11212409316814437
11.0	0.07036007949902838
12.0	0.03729280749983417
13.0	0.01970278762507708
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
52.0	0.0
53.0	0.0
54.0	0.0
55.0	0.0
56.0	0.0
57.0	0.0
58.0	0.0
59.0	0.0
60.0	0.0
61.0	0.0028989138899739343
62.0	0.009286351274662265
63.0	0.019407982822706848
64.0	0.03832462430812998
65.0	0.1009215106780756
66.0	0.18921554898795967
67.0	0.3157850774722454
68.0	0.5350215821682403
69.0	0.812678571867269
70.0	1.4051379563639759
71.0	2.205827799601522
72.0	3.2790155484966186
73.0	8.79373244990161
74.0	24.047522534142082
