#Coverage (X)	Coverage
1.0	4.713626997419652
2.0	2.5002932944488094
3.0	1.7246801844458588
4.0	1.351863884357428
5.0	1.1306679551989305
6.0	0.9793914345293189
7.0	0.8660645319203724
8.0	0.7759317423782761
9.0	0.7015426470442065
10.0	0.6391034203830657
11.0	0.5853672597022239
12.0	0.53845799834302
13.0	0.497534905741432
14.0	0.46135669748578323
15.0	0.4291405561781829
16.0	0.4002804828468669
17.0	0.3743663569756137
18.0	0.3509041572651199
19.0	0.3296076533899708
20.0	0.31033459155415244
21.0	0.2927994012024726
22.0	0.2768378361973731
23.0	0.2621504341545773
24.0	0.24863507730144363
25.0	0.23626959002689318
26.0	0.22475429002322755
27.0	0.21417667015596464
28.0	0.2043629909267679
29.0	0.19519324745851918
30.0	0.1866917046347254
31.0	0.17885440383392393
32.0	0.17149246749598035
33.0	0.16465985016553475
34.0	0.15823343138374923
35.0	0.15218718687977173
36.0	0.14651660822357826
37.0	0.14122616719127734
38.0	0.1362827286549333
39.0	0.13158450472700167
40.0	0.12715946233517172
41.0	0.12296827184195536
42.0	0.11898494563040174
43.0	0.11522821384474469
44.0	0.11164225259132365
45.0	0.10826166315419528
46.0	0.10500756633494746
47.0	0.10194249369142483
48.0	0.09895439424337837
49.0	0.09611646583428524
50.0	0.09347749480852485
51.0	0.09092348752901103
