#GC Content (%)	Sample
1.0	6.292025486897905E-6
2.0	3.565481109242147E-5
3.0	3.146012743448953E-6
4.0	1.0486709144829843E-6
5.0	0.0
6.0	1.0486709144829843E-6
7.0	7.34069640138089E-6
8.0	3.98494947503534E-5
9.0	3.7752152921387434E-5
10.0	2.9362785605523558E-5
11.0	1.0486709144829842E-5
12.0	7.34069640138089E-6
13.0	1.0486709144829842E-5
14.0	2.0973418289659685E-5
15.0	4.8238862066217274E-5
16.0	7.340696401380892E-5
17.0	1.1011044602071334E-4
18.0	2.862871596538547E-4
19.0	4.7085324060285993E-4
20.0	1.793227263765903E-4
21.0	1.6988468814624344E-4
22.0	2.4224298124556938E-4
23.0	3.7647285829939134E-4
24.0	5.442602046166688E-4
25.0	8.431314152443194E-4
26.0	0.0011577326895892146
27.0	0.002009253472149398
28.0	0.002677256844675059
29.0	0.0034805387651690245
30.0	0.0058568270573874665
31.0	0.007892297302398939
32.0	0.008072668699690012
33.0	0.00913602100697576
34.0	0.013115727127438685
35.0	0.0181682235934177
36.0	0.01755579977935964
37.0	0.018081183907515615
38.0	0.023662210514394058
39.0	0.02657332097299882
40.0	0.02641392299399741
41.0	0.0284787560246144
42.0	0.03398113231290662
43.0	0.03645809301291543
44.0	0.03594529293573325
45.0	0.0370023532175321
46.0	0.041258908459418535
47.0	0.041890208349937286
48.0	0.040542666224826655
49.0	0.039607251769107836
50.0	0.04239881374346153
51.0	0.04492506197645105
52.0	0.03511159955871928
53.0	0.03716175119653351
54.0	0.038667642629731075
55.0	0.03716384853836248
56.0	0.03284961639617948
57.0	0.029926970557515406
58.0	0.029944797963061612
59.0	0.027451058528421078
60.0	0.02249294244474553
61.0	0.018665293606882637
62.0	0.017052437740407808
63.0	0.014571282356741067
64.0	0.01098168181646581
65.0	0.008445995545245954
66.0	0.006837334362429058
67.0	0.005246500585158371
68.0	0.003806675419573233
69.0	0.0029729820425592607
70.0	0.0025514163349371006
71.0	0.0019085810643590315
72.0	0.0014440198492430695
73.0	0.0011378079422140377
74.0	0.0010318921798512567
75.0	6.889767908153207E-4
76.0	4.572205187145812E-4
77.0	3.670348200690445E-4
78.0	3.2718532531869106E-4
79.0	2.8628715965385473E-4
80.0	1.6778734631727748E-4
81.0	1.1011044602071335E-4
82.0	1.2269449699450915E-4
83.0	6.396892578346204E-5
84.0	2.726544377655759E-5
85.0	1.8876076460693717E-5
86.0	2.726544377655759E-5
87.0	1.1535380059312827E-5
88.0	2.0973418289659686E-6
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	1.0486709144829843E-6
