#Mapping quality	mapping quality
0.0	2070241.0
1.0	1.6721861E7
2.0	25438.0
3.0	29430.0
4.0	28658.0
5.0	28012.0
6.0	26241.0
7.0	21820.0
8.0	21569.0
9.0	21669.0
10.0	28764.0
11.0	10356.0
12.0	32259.0
13.0	8258.0
14.0	12419.0
15.0	45397.0
16.0	6931.0
17.0	16966.0
18.0	9140.0
19.0	7086.0
20.0	77981.0
21.0	5544.0
22.0	8712.0
23.0	11548.0
24.0	23251.0
25.0	8477.0
26.0	13259.0
27.0	11569.0
28.0	8610.0
29.0	4755.0
30.0	186611.0
31.0	5368.0
32.0	9168.0
33.0	12780.0
34.0	14815.0
35.0	9102.0
36.0	28667.0
37.0	14465.0
38.0	11631.0
39.0	7590.0
40.0	80195.0
41.0	11428.0
42.0	13143.0
43.0	23763.0
44.0	11146.0
45.0	52433.0
46.0	23940.0
47.0	13049.0
48.0	39108.0
49.0	21011.0
50.0	39102.0
51.0	29678.0
52.0	32844.0
53.0	33596.0
54.0	36721.0
55.0	37685.0
56.0	36320.0
57.0	33732.0
58.0	28552.0
59.0	15619.0
60.0	1.08338747E8
