#Duplication rate	Coverage
1.0	3684785.0
2.0	1079623.0
3.0	414583.0
4.0	194444.0
5.0	105511.0
6.0	64113.0
7.0	42027.0
8.0	29490.0
9.0	21345.0
10.0	15914.0
11.0	12623.0
12.0	9895.0
13.0	7942.0
14.0	6473.0
15.0	5338.0
16.0	4566.0
17.0	3888.0
18.0	3445.0
19.0	3030.0
20.0	2586.0
21.0	2227.0
22.0	1932.0
23.0	1728.0
24.0	1607.0
25.0	1459.0
26.0	1298.0
27.0	1189.0
28.0	1086.0
29.0	1034.0
30.0	928.0
31.0	792.0
32.0	762.0
33.0	714.0
34.0	641.0
35.0	608.0
36.0	543.0
37.0	531.0
38.0	454.0
39.0	480.0
40.0	410.0
41.0	388.0
42.0	403.0
43.0	345.0
44.0	327.0
45.0	287.0
46.0	300.0
47.0	257.0
48.0	239.0
49.0	228.0
50.0	9270.0
