#Coverage (X)	Coverage
1.0	4.470818094590925
2.0	2.4176567777977027
3.0	1.6989472021612642
4.0	1.3523457732149495
5.0	1.1447885412918595
6.0	1.000312675749612
7.0	0.8903376625720654
8.0	0.8015361427725338
9.0	0.7274763827533519
10.0	0.6642434891391389
11.0	0.6096415632787995
12.0	0.5617812797626414
13.0	0.5194455824086077
14.0	0.4818560522871138
15.0	0.4484231480286809
16.0	0.418353679180953
17.0	0.39136526407828853
18.0	0.3669351081078389
19.0	0.3450099531491304
20.0	0.3249934768606977
21.0	0.3067076512376019
22.0	0.28999852988890495
23.0	0.27475871687997255
24.0	0.26076348713395703
25.0	0.24779555631620553
26.0	0.23588597028224
27.0	0.2248643983466394
28.0	0.21468586617092456
29.0	0.20516596797109798
30.0	0.19633047144068883
31.0	0.18811336290110603
32.0	0.18044485332178795
33.0	0.17327560654983643
34.0	0.16649016279204432
35.0	0.16019280240132616
36.0	0.15427118116619454
37.0	0.14866210775856814
38.0	0.143331640664627
39.0	0.1382983267590987
40.0	0.13358346195938964
41.0	0.12911179580345333
42.0	0.12495066151038259
43.0	0.1209349699028337
44.0	0.1171199950659485
45.0	0.11352765603346882
46.0	0.11008636773362923
47.0	0.10682545328849358
48.0	0.10368780591781501
49.0	0.10071275525908163
50.0	0.09788219428442346
51.0	0.09516053205439334
