#Mapping quality	mapping quality
0.0	2568135.0
1.0	1.4833554E7
2.0	31283.0
3.0	22743.0
4.0	19499.0
5.0	18842.0
6.0	18008.0
7.0	15183.0
8.0	16774.0
9.0	17401.0
10.0	22787.0
11.0	8300.0
12.0	29829.0
13.0	7335.0
14.0	10559.0
15.0	42871.0
16.0	6492.0
17.0	15689.0
18.0	8635.0
19.0	7059.0
20.0	79760.0
21.0	6032.0
22.0	9237.0
23.0	11864.0
24.0	23156.0
25.0	8700.0
26.0	14606.0
27.0	12488.0
28.0	8877.0
29.0	5143.0
30.0	194367.0
31.0	6079.0
32.0	10057.0
33.0	14154.0
34.0	15268.0
35.0	10027.0
36.0	29767.0
37.0	15859.0
38.0	13292.0
39.0	9233.0
40.0	83221.0
41.0	14297.0
42.0	15635.0
43.0	28472.0
44.0	13673.0
45.0	55441.0
46.0	27893.0
47.0	15646.0
48.0	45405.0
49.0	24938.0
50.0	48507.0
51.0	35810.0
52.0	40663.0
53.0	42498.0
54.0	47377.0
55.0	48449.0
56.0	45914.0
57.0	41618.0
58.0	32586.0
59.0	16555.0
60.0	1.03030321E8
