#Mapping quality	mapping quality
0.0	1580346.0
1.0	1.1779878E7
2.0	21941.0
3.0	24676.0
4.0	23302.0
5.0	21262.0
6.0	18809.0
7.0	15552.0
8.0	16007.0
9.0	16519.0
10.0	21432.0
11.0	8080.0
12.0	24655.0
13.0	6119.0
14.0	9230.0
15.0	34793.0
16.0	5357.0
17.0	12193.0
18.0	6623.0
19.0	5262.0
20.0	61708.0
21.0	3856.0
22.0	6637.0
23.0	8211.0
24.0	17909.0
25.0	6086.0
26.0	10212.0
27.0	8610.0
28.0	5794.0
29.0	3399.0
30.0	140032.0
31.0	3850.0
32.0	6049.0
33.0	9605.0
34.0	10611.0
35.0	6454.0
36.0	22448.0
37.0	10975.0
38.0	7994.0
39.0	5131.0
40.0	60290.0
41.0	8376.0
42.0	9070.0
43.0	18471.0
44.0	7473.0
45.0	38529.0
46.0	18130.0
47.0	8671.0
48.0	31068.0
49.0	14834.0
50.0	29138.0
51.0	21546.0
52.0	22776.0
53.0	23322.0
54.0	26234.0
55.0	26078.0
56.0	26074.0
57.0	23111.0
58.0	20784.0
59.0	12292.0
60.0	8.387212E7
