#Read position (bp)	Clipping profile
0.0	18.4629696465552
1.0	10.292128022172085
2.0	6.806123571542994
3.0	4.9177907432318975
4.0	3.408031590588444
5.0	2.5001495766498305
6.0	1.8728926580060177
7.0	1.3424263069621658
8.0	0.9400168683860584
9.0	0.6707788986912526
10.0	0.43917634411507556
11.0	0.2814936048744618
12.0	0.1729299074168788
13.0	0.07758685578301928
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
52.0	0.0
53.0	0.0
54.0	0.0
55.0	0.0
56.0	0.0
57.0	0.0
58.0	0.0
59.0	0.0
60.0	0.0
61.0	0.02142323629829637
62.0	0.05674262587116336
63.0	0.10576516658978748
64.0	0.1870190628202629
65.0	0.3857147544337414
66.0	0.6240723835183902
67.0	0.9936714601962059
68.0	1.4786858099044833
69.0	2.0725533602635635
70.0	3.096236651490266
71.0	4.545393135686287
72.0	6.298913977021167
73.0	9.74959903807739
74.0	18.199714742853615
