#Mapping quality	mapping quality
0.0	2229297.0
1.0	1.282679E7
2.0	23868.0
3.0	19262.0
4.0	16569.0
5.0	14909.0
6.0	15693.0
7.0	12331.0
8.0	13466.0
9.0	14664.0
10.0	19994.0
11.0	6412.0
12.0	25913.0
13.0	5619.0
14.0	8413.0
15.0	37893.0
16.0	5360.0
17.0	13221.0
18.0	7382.0
19.0	5560.0
20.0	71095.0
21.0	4666.0
22.0	7501.0
23.0	10141.0
24.0	20250.0
25.0	7304.0
26.0	12015.0
27.0	10662.0
28.0	6813.0
29.0	4107.0
30.0	175597.0
31.0	4396.0
32.0	7954.0
33.0	12770.0
34.0	13536.0
35.0	8132.0
36.0	28534.0
37.0	13928.0
38.0	11377.0
39.0	6943.0
40.0	75741.0
41.0	10870.0
42.0	13243.0
43.0	23589.0
44.0	10645.0
45.0	50696.0
46.0	23853.0
47.0	12718.0
48.0	40694.0
49.0	21043.0
50.0	41043.0
51.0	29991.0
52.0	32699.0
53.0	33981.0
54.0	37121.0
55.0	36707.0
56.0	34243.0
57.0	29438.0
58.0	24899.0
59.0	11613.0
60.0	9.2386801E7
