#Coverage (X)	Coverage
1.0	3.98581739403771
2.0	2.082410727877999
3.0	1.4438434807822063
4.0	1.1345285641445741
5.0	0.94559518013439
6.0	0.8132051325898431
7.0	0.7125356289357967
8.0	0.6323906979680629
9.0	0.5659290720352033
10.0	0.5103098904159111
11.0	0.4628409239639524
12.0	0.4220023186078663
13.0	0.38681878730717756
14.0	0.35618341885715665
15.0	0.32923528639345534
16.0	0.30543957282317535
17.0	0.28428737536256676
18.0	0.2652981246946098
19.0	0.24830321286731305
20.0	0.23301454020621293
21.0	0.21912901559068132
22.0	0.2064646157403871
23.0	0.1949118187943526
24.0	0.18440461107400097
25.0	0.17473974668938297
26.0	0.1658295861593615
27.0	0.15766874136026843
28.0	0.15011272260804276
29.0	0.14317593488640057
30.0	0.13671425505030754
31.0	0.1307015855211091
32.0	0.12508771045223455
33.0	0.11984884146090735
34.0	0.1149460887564544
35.0	0.1103730379059158
36.0	0.10609186208181143
37.0	0.10211612322810026
38.0	0.09834553626726006
39.0	0.09480040746133511
40.0	0.09144657537309797
41.0	0.08829199389941778
42.0	0.08530638691674142
43.0	0.08248007779478428
44.0	0.07982380612699558
45.0	0.07726037879450587
46.0	0.07484030487509585
47.0	0.07256032217144082
48.0	0.0703850596675295
49.0	0.0683235708772969
50.0	0.06634268401889187
51.0	0.06445423830284369
