#GC Content (%)	Sample
1.0	4.040687024545827E-6
2.0	1.0775165398788872E-5
3.0	1.6162748098183307E-5
4.0	1.346895674848609E-6
5.0	0.0
6.0	0.0
7.0	1.346895674848609E-6
8.0	1.346895674848609E-6
9.0	2.693791349697218E-6
10.0	0.0
11.0	0.0
12.0	0.0
13.0	2.693791349697218E-6
14.0	6.734478374243045E-6
15.0	1.4815852423334697E-5
16.0	1.212206107363748E-5
17.0	1.7509643773031917E-5
18.0	3.771307889576105E-5
19.0	6.195720104303601E-5
20.0	1.198737150615262E-4
21.0	1.7105575070577335E-4
22.0	3.4615218843609254E-4
23.0	4.5929142512337565E-4
24.0	8.471973794797751E-4
25.0	0.0013617115272719438
26.0	0.00298202702411482
27.0	0.002734198219942676
28.0	0.0029981897722130032
29.0	0.003905997457060966
30.0	0.006285962114518458
31.0	0.008011335473999525
32.0	0.009146768527896903
33.0	0.010480195245997028
34.0	0.015508156800206882
35.0	0.01822215158502683
36.0	0.01759315130487253
37.0	0.018954862832144474
38.0	0.02301305950046333
39.0	0.025829418356571775
40.0	0.025419962071417796
41.0	0.027014686550438552
42.0	0.0336966359933625
43.0	0.03475394909811866
44.0	0.033842100726246147
45.0	0.03578701808072754
46.0	0.037787158157877726
47.0	0.03837036398508717
48.0	0.037520472814257695
49.0	0.03796898907398228
50.0	0.038654558972480234
51.0	0.041647361161993836
52.0	0.033679126349589465
53.0	0.03686049393358187
54.0	0.037441005969441624
55.0	0.036601889964010946
56.0	0.03356464021722733
57.0	0.031276264465659544
58.0	0.02994957222593367
59.0	0.0278389867034459
60.0	0.02335921168889943
61.0	0.020437794970152794
62.0	0.018012035859750447
63.0	0.015060987436157146
64.0	0.012112632803913542
65.0	0.009841766696118786
66.0	0.008264551860871064
67.0	0.006481261987371506
68.0	0.004827274098657415
69.0	0.004118806973687046
70.0	0.0033389543779497014
71.0	0.0028150119604335925
72.0	0.0023018447083162728
73.0	0.0018681443010150206
74.0	0.0016930478632847014
75.0	0.001412893562916191
76.0	0.0011489020106458634
77.0	9.037669978234166E-4
78.0	7.434864125164323E-4
79.0	6.249595931297546E-4
80.0	4.5121005107428403E-4
81.0	4.0137491110488546E-4
82.0	3.151735879145745E-4
83.0	2.2358468202486907E-4
84.0	1.2122061073637481E-4
85.0	9.832338426394846E-5
86.0	7.003857509212766E-5
87.0	4.310066159515548E-5
88.0	3.905997457060966E-5
89.0	1.3468956748486087E-5
90.0	2.693791349697218E-6
91.0	1.2122061073637482E-5
92.0	4.040687024545827E-6
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
