#Duplication rate	Coverage
1.0	3513775.0
2.0	932555.0
3.0	326268.0
4.0	140013.0
5.0	70969.0
6.0	40911.0
7.0	25797.0
8.0	17113.0
9.0	12480.0
10.0	9141.0
11.0	6897.0
12.0	5309.0
13.0	4284.0
14.0	3593.0
15.0	2878.0
16.0	2549.0
17.0	2090.0
18.0	1866.0
19.0	1507.0
20.0	1283.0
21.0	1124.0
22.0	1032.0
23.0	916.0
24.0	762.0
25.0	731.0
26.0	675.0
27.0	509.0
28.0	554.0
29.0	507.0
30.0	477.0
31.0	418.0
32.0	409.0
33.0	368.0
34.0	340.0
35.0	328.0
36.0	282.0
37.0	259.0
38.0	277.0
39.0	261.0
40.0	256.0
41.0	219.0
42.0	193.0
43.0	197.0
44.0	179.0
45.0	170.0
46.0	169.0
47.0	176.0
48.0	167.0
49.0	130.0
50.0	6805.0
