#Duplication rate	Coverage
1.0	3350329.0
2.0	887135.0
3.0	311228.0
4.0	133503.0
5.0	67765.0
6.0	39184.0
7.0	24875.0
8.0	17385.0
9.0	12226.0
10.0	9236.0
11.0	6950.0
12.0	5452.0
13.0	4343.0
14.0	3588.0
15.0	2953.0
16.0	2511.0
17.0	2127.0
18.0	1805.0
19.0	1589.0
20.0	1386.0
21.0	1271.0
22.0	1105.0
23.0	965.0
24.0	810.0
25.0	751.0
26.0	718.0
27.0	654.0
28.0	611.0
29.0	503.0
30.0	507.0
31.0	449.0
32.0	383.0
33.0	358.0
34.0	360.0
35.0	338.0
36.0	347.0
37.0	298.0
38.0	286.0
39.0	270.0
40.0	222.0
41.0	238.0
42.0	226.0
43.0	231.0
44.0	205.0
45.0	192.0
46.0	161.0
47.0	155.0
48.0	152.0
49.0	163.0
50.0	8540.0
