#GC Content (%)	Sample
1.0	1.0628178489629554E-5
2.0	9.299656178425859E-6
3.0	3.985566933611083E-5
4.0	3.985566933611083E-6
5.0	0.0
6.0	1.3285223112036943E-6
7.0	1.3285223112036943E-6
8.0	1.3285223112036943E-6
9.0	0.0
10.0	5.314089244814777E-6
11.0	1.3285223112036943E-6
12.0	5.314089244814777E-6
13.0	1.3285223112036943E-6
14.0	9.29965617842586E-6
15.0	1.859931235685172E-5
16.0	3.1884535468888666E-5
17.0	4.2512713958518224E-5
18.0	5.5797937070555166E-5
19.0	8.103986098342535E-5
20.0	1.4746597654361008E-4
21.0	2.2850583752703543E-4
22.0	4.6498280892129303E-4
23.0	6.337051424441622E-4
24.0	0.0010707889828301777
25.0	0.0018333607894610983
26.0	0.0037185339490591407
27.0	0.0033571758804117353
28.0	0.0035365263924242345
29.0	0.004493062456490894
30.0	0.007475595045143187
31.0	0.01003698606114391
32.0	0.010875283639513443
33.0	0.012335329659526302
34.0	0.018564770776760425
35.0	0.02166952741804346
36.0	0.020283878647458006
37.0	0.021092948734981055
38.0	0.02518346893117723
39.0	0.027212122500385273
40.0	0.02525919470291584
41.0	0.027496426274982857
42.0	0.034529623390495215
43.0	0.03478071410731271
44.0	0.03355448801407171
45.0	0.03381620690937884
46.0	0.036530377991167984
47.0	0.03729294979779891
48.0	0.03562299725261586
49.0	0.036154406177097344
50.0	0.036778811663363074
51.0	0.039807842532907506
52.0	0.03235217532243237
53.0	0.035427704472868915
54.0	0.035733264604445765
55.0	0.035092916850445584
56.0	0.03200277395458579
57.0	0.02980805509647729
58.0	0.02875852247062637
59.0	0.026691341754393423
60.0	0.022685846986114283
61.0	0.019793653914623843
62.0	0.017504609972419875
63.0	0.014726669819692952
64.0	0.01191020251994112
65.0	0.009615844488492339
66.0	0.007908693318595592
67.0	0.006270625308881438
68.0	0.004927489252254503
69.0	0.003980252844366268
70.0	0.0032508940955154404
71.0	0.0027978679873949808
72.0	0.0021003937740130406
73.0	0.0018758735034196167
74.0	0.0017403642276768397
75.0	0.0014494178415232304
76.0	0.001155814410747214
77.0	9.16680394730549E-4
78.0	7.479580612076799E-4
79.0	6.483188878674028E-4
80.0	4.809250766557373E-4
81.0	4.450549742532376E-4
82.0	3.82614425626664E-4
83.0	2.3249140446064651E-4
84.0	1.3285223112036943E-4
85.0	1.0229621796268449E-4
86.0	6.111202631536995E-5
87.0	5.978350400416625E-5
88.0	4.251271395851822E-5
89.0	2.6570446224073887E-5
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	1.3285223112036943E-6
