#Coverage (X)	Coverage
1.0	3.78792542969218
2.0	1.97749560268538
3.0	1.3704302589510604
4.0	1.0731174427975674
5.0	0.8911034725591804
6.0	0.763966295796763
7.0	0.6678824885896546
8.0	0.591449241761282
9.0	0.528715684262238
10.0	0.47626442613717757
11.0	0.4319344999041874
12.0	0.3939138465802756
13.0	0.36105886440418544
14.0	0.3320777598864737
15.0	0.306757683814709
16.0	0.2844355304368946
17.0	0.264611193905921
18.0	0.24690948487472042
19.0	0.2309592092716315
20.0	0.21671803183913596
21.0	0.20388711330932097
22.0	0.19225202835194466
23.0	0.18159468624652675
24.0	0.17192025519332788
25.0	0.16308780093683595
26.0	0.1549224477077331
27.0	0.14747877316698066
28.0	0.14061217766882805
29.0	0.13422435544647726
30.0	0.12826303803483086
31.0	0.12275597243814218
32.0	0.11760811508698055
33.0	0.11284241132436534
34.0	0.10840794887957372
35.0	0.10425601471604296
36.0	0.10037759197375351
37.0	0.09675988844067263
38.0	0.09335481419660141
39.0	0.09010295326541495
40.0	0.08709245828286782
41.0	0.08423990496663691
42.0	0.08155192767310382
43.0	0.07897706432299856
44.0	0.07654141249498991
45.0	0.07425270616251112
46.0	0.07205490150849414
47.0	0.06996724183180447
48.0	0.06798279954485054
49.0	0.06609563671540286
50.0	0.0642767967604101
51.0	0.06258481596232457
