#Read position (bp)	Clipping profile
0.0	18.69155801705723
1.0	10.310433278432397
2.0	6.81442574593628
3.0	4.932618586490607
4.0	3.4056138165995216
5.0	2.5488017894381385
6.0	1.938338505183294
7.0	1.40557054801543
8.0	0.986994027994774
9.0	0.7208922358288332
10.0	0.48714781959257925
11.0	0.3198112737236473
12.0	0.1961195605040602
13.0	0.08616091962672381
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
52.0	0.0
53.0	0.0
54.0	0.0
55.0	0.0
56.0	0.0
57.0	0.0
58.0	0.0
59.0	0.0
60.0	0.0
61.0	0.02276303771797725
62.0	0.055684786483646824
63.0	0.10403272609951586
64.0	0.1784358783099291
65.0	0.3736148174206845
66.0	0.5988936411171948
67.0	0.9369529698709562
68.0	1.3987040118443046
69.0	1.9773742930054454
70.0	3.0004881825031253
71.0	4.403707177035293
72.0	6.113944994342162
73.0	9.55191618687137
74.0	18.439001172954878
