#Read position (bp)	Clipping profile
0.0	18.087756314398675
1.0	10.286478071163733
2.0	6.851609070610648
3.0	4.946432595202491
4.0	3.383759755822767
5.0	2.5153122887518693
6.0	1.8877645082655632
7.0	1.38373927115554
8.0	0.9618575496241063
9.0	0.6859290820820616
10.0	0.4688940328164369
11.0	0.3129032918860233
12.0	0.18692258844255075
13.0	0.08654771903230432
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
52.0	0.0
53.0	0.0
54.0	0.0
55.0	0.0
56.0	0.0
57.0	0.0
58.0	0.0
59.0	0.0
60.0	0.0
61.0	0.028576110781080362
62.0	0.06616547514185632
63.0	0.1178892598889731
64.0	0.19532130200544895
65.0	0.3912571440276953
66.0	0.6398385808222545
67.0	1.0087674375729767
68.0	1.4890304607001659
69.0	2.0598357129688427
70.0	3.139582522481922
71.0	4.59163815883811
72.0	6.363049757256693
73.0	9.811643484851588
74.0	18.051498453407625
