#Position (bp)	Coverage
3410279.0	0.7443092990792394
1.0230836E7	1.4143400604965255
1.7051393E7	1.3139544175057845
2.387195E7	7.7977128554163535
3.0692507E7	0.6907236461772843
3.7513064E7	3.0489844157889157
4.4333621E7	0.8303373170255743
5.1154178E7	1.1297864675861518
5.7974735E7	2.096691369927705
6.4795292E7	2.732379481617117
7.1615849E7	1.660796618223409
7.8436406E7	2.254416758044834
8.5256963E7	3.649040100390628
9.207752E7	3.246044714529913
9.8898077E7	0.6457117798443734
1.05718634E8	0.4747780863058545
1.12539191E8	0.09592823577311942
1.19359748E8	0.8983562486172317
1.26180305E8	2.279801634969109
1.33000862E8	2.7316450841184965
1.39821419E8	0.17511883560242955
1.46641976E8	0.42625228408764854
1.53462533E8	3.069676567470956
1.6028309E8	3.477969321273908
1.67103647E8	3.340371321579748
1.73924204E8	3.6515072009514764
1.80744761E8	2.8966974398132
1.87565318E8	1.3077791154006924
1.93064938E8	1.151568568374294
1.964752165E8	0.0
2.01206432E8	1.4125673313777747
2.08026989E8	1.7218363544209072
2.14847546E8	2.3668427666538085
2.21668103E8	1.0292127167913119
2.2848866E8	1.8408468692512943
2.35309217E8	2.528544223001142
2.42129774E8	1.1778605471664558
2.48950331E8	1.3238729622815262
2.55770888E8	3.6902016946709777
2.62591445E8	1.8548880978489
2.69412002E8	2.807043325053951
2.76232559E8	7.73167983201372
2.83053116E8	3.4347624394899126
2.89873673E8	1.6161432270121048
2.9669423E8	0.9980426818513503
3.03514787E8	8.808397466658516
3.10335344E8	1.38597888706157
3.17155901E8	0.8438118763614174
3.231256605E8	5.211137336045862
3.26535939E8	0.0
3.30797015E8	4.668863994538863
3.37617572E8	0.4450591058765435
3.44438129E8	2.5638209606634765
3.51258686E8	0.916069024861166
3.58079243E8	5.292457052994353
3.648998E8	1.520458226505548
3.71720357E8	1.6759738244251898
3.78540914E8	4.615571279589043
3.85361471E8	6.173020619870195
3.92182028E8	2.785608125553382
3.99002585E8	5.814193474227984
4.05823142E8	3.325089871692297
4.12643699E8	4.333140973677077
4.19464256E8	2.5232060959244236
4.26284813E8	7.0057071585209245
4.3310537E8	3.793251489577757
4.39925927E8	2.3017655302932005
4.45497358E8	7.8180313513275905
4.489076365E8	0.0
4.53567041E8	2.7003117194094264
4.60387598E8	1.7282290874484298
4.67208155E8	1.7092787289953004
4.74028712E8	0.9569322564124895
4.80849269E8	1.8793991458468862
4.87669826E8	3.7167089139494034
4.94490383E8	1.5060126321061462
5.0131094E8	2.3533822824147648
5.08131497E8	0.4881552928888359
5.14952054E8	1.1729264926603502
5.21772611E8	4.58999301669937
5.28593168E8	5.0684297484794865
5.35413725E8	4.523626589441302
5.42234282E8	0.1536189786259392
5.49054839E8	3.0908131110113146
5.55875396E8	6.243342589175635
5.62695953E8	6.321288129400576
5.669287495E8	0.2408141827899207
5.70339028E8	0.3079744048956617
5.76337067E8	1.7221791416742063
5.83157624E8	1.1372937723414671
5.89978181E8	2.957366091948209
5.96798738E8	0.6388954743725476
6.03619295E8	1.6971215107505149
6.10439852E8	5.657661976873737
6.17260409E8	2.0839192458915012
6.24080966E8	5.565105020015228
6.30901523E8	1.1436233140489847
6.3772208E8	1.3561040542583251
6.44542637E8	2.30245740927024
6.51363194E8	0.6535376802803642
6.58183751E8	3.036228859314569
6.65004308E8	3.6098823014014836
6.71824865E8	1.8164284823072367
6.78645422E8	1.6687348262026107
6.853450715E8	1.238320487412335
6.8875535E8	0.0
6.92286536E8	1.695540701441246
6.99107093E8	2.1508375342365733
7.0592765E8	1.4528546568850609
7.12748207E8	2.425436954782432
7.19568764E8	5.630316409642203
7.26389321E8	2.0459178040737727
7.33209878E8	0.9785090865746009
7.40030435E8	1.290421588735348
7.46850992E8	2.1348454385763507
7.53671549E8	3.6616370187947993
7.60492106E8	2.1380838837649185
7.67312663E8	1.8522371413361107
7.7413322E8	0.36104060122948906
7.80953777E8	0.8971213054886866
7.87774334E8	0.6908199726210044
7.94594891E8	0.9591913094487737
8.01415448E8	1.0938383771296099
8.08236005E8	2.207260198837133
8.12710191E8	2.720655226135731
8.161204695E8	1.4699050150210686
8.21877119E8	1.2475187876884541
8.28697676E8	1.1996507030144312
8.35518233E8	0.3243676432877843
8.4233879E8	2.8817357585311583
8.49159347E8	2.7760034847593826
8.55979904E8	1.787037187725284
