#Duplication rate	Coverage
1.0	3196612.0
2.0	858072.0
3.0	299235.0
4.0	128184.0
5.0	64503.0
6.0	37014.0
7.0	23159.0
8.0	15773.0
9.0	11178.0
10.0	8375.0
11.0	6393.0
12.0	4893.0
13.0	3905.0
14.0	3285.0
15.0	2734.0
16.0	2274.0
17.0	1915.0
18.0	1605.0
19.0	1433.0
20.0	1280.0
21.0	1117.0
22.0	971.0
23.0	861.0
24.0	844.0
25.0	702.0
26.0	618.0
27.0	606.0
28.0	530.0
29.0	487.0
30.0	439.0
31.0	432.0
32.0	398.0
33.0	318.0
34.0	348.0
35.0	303.0
36.0	273.0
37.0	305.0
38.0	274.0
39.0	227.0
40.0	240.0
41.0	228.0
42.0	213.0
43.0	199.0
44.0	190.0
45.0	174.0
46.0	172.0
47.0	157.0
48.0	166.0
49.0	142.0
50.0	8308.0
