#Mapping quality	mapping quality
0.0	2148711.0
1.0	1.1882649E7
2.0	24701.0
3.0	19338.0
4.0	16815.0
5.0	15299.0
6.0	15197.0
7.0	11858.0
8.0	13208.0
9.0	14610.0
10.0	19258.0
11.0	6759.0
12.0	25926.0
13.0	5783.0
14.0	8304.0
15.0	35722.0
16.0	5099.0
17.0	13344.0
18.0	6789.0
19.0	5469.0
20.0	71622.0
21.0	4652.0
22.0	7727.0
23.0	9645.0
24.0	20832.0
25.0	7191.0
26.0	12292.0
27.0	10284.0
28.0	6984.0
29.0	4045.0
30.0	168966.0
31.0	4203.0
32.0	8229.0
33.0	11783.0
34.0	13401.0
35.0	7696.0
36.0	28070.0
37.0	12878.0
38.0	10710.0
39.0	6497.0
40.0	71838.0
41.0	11329.0
42.0	12535.0
43.0	23594.0
44.0	10340.0
45.0	47386.0
46.0	22885.0
47.0	12017.0
48.0	39039.0
49.0	20470.0
50.0	38818.0
51.0	27524.0
52.0	29574.0
53.0	30197.0
54.0	32284.0
55.0	31026.0
56.0	30418.0
57.0	27910.0
58.0	22718.0
59.0	10590.0
60.0	8.509355E7
