#Mapping quality	mapping quality
0.0	2229444.0
1.0	1.7521428E7
2.0	27786.0
3.0	31877.0
4.0	31281.0
5.0	29505.0
6.0	28799.0
7.0	22291.0
8.0	21825.0
9.0	21095.0
10.0	27504.0
11.0	11439.0
12.0	33979.0
13.0	8557.0
14.0	12471.0
15.0	48002.0
16.0	7149.0
17.0	17535.0
18.0	9624.0
19.0	7561.0
20.0	84722.0
21.0	5892.0
22.0	9221.0
23.0	12267.0
24.0	24334.0
25.0	8859.0
26.0	13984.0
27.0	11970.0
28.0	8687.0
29.0	5159.0
30.0	200441.0
31.0	6429.0
32.0	10282.0
33.0	14551.0
34.0	15562.0
35.0	9909.0
36.0	29148.0
37.0	15674.0
38.0	13084.0
39.0	9011.0
40.0	86734.0
41.0	13163.0
42.0	14160.0
43.0	25172.0
44.0	12950.0
45.0	54466.0
46.0	25395.0
47.0	14569.0
48.0	42904.0
49.0	22533.0
50.0	43118.0
51.0	32819.0
52.0	35426.0
53.0	37127.0
54.0	41342.0
55.0	43323.0
56.0	44119.0
57.0	39038.0
58.0	30023.0
59.0	17088.0
60.0	1.19913668E8
