#Coverage (X)	Coverage
1.0	3.8959300023735466
2.0	2.0605291544094797
3.0	1.4253897436312855
4.0	1.1175719189915867
5.0	0.9306984476538247
6.0	0.8010194693614494
7.0	0.7026544698719022
8.0	0.6248624995279073
9.0	0.5612834098035933
10.0	0.5080671480772878
11.0	0.46300066167148657
12.0	0.4241174687115006
13.0	0.3903773680953435
14.0	0.3608264053538477
15.0	0.334803197468446
16.0	0.31175507689566473
17.0	0.29101754503521704
18.0	0.2723942835847595
19.0	0.25564473298149437
20.0	0.2404167958370067
21.0	0.22676120115251308
22.0	0.2142409244472674
23.0	0.2028491480953818
24.0	0.19242760054541463
25.0	0.18279799721508994
26.0	0.1738869569914101
27.0	0.16566369059619035
28.0	0.15805903211520445
29.0	0.15107008589015436
30.0	0.14460034219548845
31.0	0.1384756949938435
32.0	0.1327509785235037
33.0	0.1274427236945428
34.0	0.1224710983070878
35.0	0.11783276685601152
36.0	0.11343510492943665
37.0	0.10930223079526513
38.0	0.10544722989673971
39.0	0.1017822428293016
40.0	0.09828414098042515
41.0	0.09499339025857978
42.0	0.09183422704707311
43.0	0.08888083884478704
44.0	0.08610426906865598
45.0	0.08346493150388312
46.0	0.08089750889601532
47.0	0.07849550535058825
48.0	0.07618652940998061
49.0	0.0740122565614314
50.0	0.07191132817199275
51.0	0.0699194817967026
