#Read position (bp)	Clipping profile
0.0	26.87499447686321
1.0	12.14928081394835
2.0	6.995163205010001
3.0	4.478527517003897
4.0	2.235839413693255
5.0	1.5893378421767346
6.0	1.0798100630079446
7.0	0.6998182519787558
8.0	0.4451648251301251
9.0	0.2696027170887325
10.0	0.12732671342431534
11.0	0.08115328987483836
12.0	0.047278050907119985
13.0	0.020987919795216817
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
52.0	0.0
53.0	0.0
54.0	0.0
55.0	0.0
56.0	0.0
57.0	0.0
58.0	0.0
59.0	0.0
60.0	0.0
61.0	0.002945672953714641
62.0	0.008174242446558129
63.0	0.022092547152859805
64.0	0.04845632008860584
65.0	0.1417605108975171
66.0	0.2695290752648896
67.0	0.45731572606419796
68.0	0.7663168189088638
69.0	1.1429947478651237
70.0	1.9009163988559004
71.0	2.860543005352288
72.0	4.0390331123096725
73.0	8.795116663377332
74.0	22.450520058559977
