#Duplication rate	Coverage
1.0	2798028.0
2.0	811421.0
3.0	314559.0
4.0	149745.0
5.0	83443.0
6.0	51574.0
7.0	34063.0
8.0	24145.0
9.0	17945.0
10.0	13831.0
11.0	10631.0
12.0	8505.0
13.0	6753.0
14.0	5737.0
15.0	4638.0
16.0	4174.0
17.0	3398.0
18.0	2976.0
19.0	2593.0
20.0	2262.0
21.0	1944.0
22.0	1765.0
23.0	1535.0
24.0	1407.0
25.0	1210.0
26.0	1158.0
27.0	1069.0
28.0	963.0
29.0	852.0
30.0	780.0
31.0	752.0
32.0	657.0
33.0	652.0
34.0	578.0
35.0	586.0
36.0	524.0
37.0	450.0
38.0	422.0
39.0	401.0
40.0	386.0
41.0	363.0
42.0	336.0
43.0	322.0
44.0	303.0
45.0	267.0
46.0	241.0
47.0	228.0
48.0	253.0
49.0	248.0
50.0	8113.0
