#Mapping quality	mapping quality
0.0	1560371.0
1.0	1.2777474E7
2.0	21698.0
3.0	25574.0
4.0	22734.0
5.0	20586.0
6.0	19834.0
7.0	15523.0
8.0	17200.0
9.0	17193.0
10.0	22084.0
11.0	7929.0
12.0	25520.0
13.0	5653.0
14.0	8779.0
15.0	33731.0
16.0	4655.0
17.0	12814.0
18.0	6412.0
19.0	5253.0
20.0	60268.0
21.0	4004.0
22.0	6727.0
23.0	7872.0
24.0	17874.0
25.0	6027.0
26.0	10463.0
27.0	8519.0
28.0	5905.0
29.0	3335.0
30.0	140371.0
31.0	3501.0
32.0	6807.0
33.0	9466.0
34.0	11034.0
35.0	6266.0
36.0	22624.0
37.0	11243.0
38.0	8420.0
39.0	5108.0
40.0	59924.0
41.0	9050.0
42.0	9775.0
43.0	18127.0
44.0	8290.0
45.0	37900.0
46.0	18442.0
47.0	9311.0
48.0	29913.0
49.0	15446.0
50.0	29653.0
51.0	21783.0
52.0	23767.0
53.0	23357.0
54.0	27628.0
55.0	27302.0
56.0	27805.0
57.0	27001.0
58.0	22399.0
59.0	14170.0
60.0	9.0841743E7
