#Read position (bp)	Clipping profile
0.0	28.412776235949245
1.0	13.07485590025544
2.0	7.18522083632578
3.0	4.330264169953986
4.0	1.7950182695436139
5.0	1.2759943044803987
6.0	0.8496299861410355
7.0	0.5404646276546564
8.0	0.3473487296282469
9.0	0.2114579100801601
10.0	0.09875699133027566
11.0	0.05987392490570357
12.0	0.03193609183200716
13.0	0.01339416684034103
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
52.0	0.0
53.0	0.0
54.0	0.0
55.0	0.0
56.0	0.0
57.0	0.0
58.0	0.0
59.0	0.0
60.0	0.0
61.0	0.0022989987860286844
62.0	0.007096909296001591
63.0	0.019741402619159354
64.0	0.03913295759696652
65.0	0.11325067932915216
66.0	0.21090814950089237
67.0	0.35679461594475603
68.0	0.5964902285054858
69.0	0.9019571976404276
70.0	1.5334321902811325
71.0	2.3729665730574334
72.0	3.448298266105111
73.0	8.963146549677615
74.0	23.20749313673895
