#Duplication rate	Coverage
1.0	3743297.0
2.0	1118524.0
3.0	436675.0
4.0	205029.0
5.0	111356.0
6.0	67879.0
7.0	44305.0
8.0	31314.0
9.0	22231.0
10.0	16895.0
11.0	12938.0
12.0	10560.0
13.0	8306.0
14.0	6808.0
15.0	5690.0
16.0	4680.0
17.0	4152.0
18.0	3585.0
19.0	2926.0
20.0	2595.0
21.0	2364.0
22.0	2019.0
23.0	1806.0
24.0	1593.0
25.0	1487.0
26.0	1282.0
27.0	1173.0
28.0	1106.0
29.0	990.0
30.0	882.0
31.0	824.0
32.0	743.0
33.0	694.0
34.0	662.0
35.0	630.0
36.0	595.0
37.0	547.0
38.0	465.0
39.0	485.0
40.0	375.0
41.0	433.0
42.0	369.0
43.0	369.0
44.0	344.0
45.0	306.0
46.0	279.0
47.0	277.0
48.0	252.0
49.0	238.0
50.0	8746.0
