#Mapping quality	mapping quality
0.0	2058000.0
1.0	1.6047413E7
2.0	24259.0
3.0	30664.0
4.0	29697.0
5.0	28043.0
6.0	26034.0
7.0	21255.0
8.0	22144.0
9.0	22466.0
10.0	28015.0
11.0	10242.0
12.0	33277.0
13.0	7715.0
14.0	12384.0
15.0	44738.0
16.0	6587.0
17.0	16696.0
18.0	8982.0
19.0	6870.0
20.0	78556.0
21.0	5660.0
22.0	8466.0
23.0	12175.0
24.0	22637.0
25.0	8289.0
26.0	13367.0
27.0	12078.0
28.0	8197.0
29.0	4906.0
30.0	181624.0
31.0	5493.0
32.0	9460.0
33.0	13156.0
34.0	14508.0
35.0	8986.0
36.0	29496.0
37.0	15159.0
38.0	12353.0
39.0	7849.0
40.0	80039.0
41.0	12438.0
42.0	13548.0
43.0	25778.0
44.0	11775.0
45.0	51169.0
46.0	24321.0
47.0	13047.0
48.0	40241.0
49.0	21169.0
50.0	41347.0
51.0	30105.0
52.0	33832.0
53.0	33862.0
54.0	36939.0
55.0	37718.0
56.0	36919.0
57.0	33621.0
58.0	28276.0
59.0	14387.0
60.0	1.10062152E8
