#Coverage (X)	Coverage
1.0	4.435141641608027
2.0	2.429393174141879
3.0	1.7064548011081655
4.0	1.3559794578495854
5.0	1.1472642924893393
6.0	1.001905947588014
7.0	0.8924375646522549
8.0	0.8046820372713199
9.0	0.7317343566571282
10.0	0.6693876444461608
11.0	0.6156547826165593
12.0	0.5685128056297231
13.0	0.5269659369136264
14.0	0.48981214838627807
15.0	0.4567995544289971
16.0	0.42718968886602227
17.0	0.4004701667928572
18.0	0.3762320039642475
19.0	0.3542152875568405
20.0	0.3343222616123853
21.0	0.31611700126721587
22.0	0.29952869118149295
23.0	0.2841906823674947
24.0	0.2701937665419507
25.0	0.2571443907526145
26.0	0.2450585361010269
27.0	0.23388987205427725
28.0	0.22344552577688148
29.0	0.21377725257931957
30.0	0.20476988589959433
31.0	0.1963785980148316
32.0	0.1884972025691951
33.0	0.18114835167448007
34.0	0.17414826266303862
35.0	0.16764223160480185
36.0	0.16156120254724726
37.0	0.1558322708781077
38.0	0.15049472958097
39.0	0.14539844427076787
40.0	0.14057240818445393
41.0	0.13600276614685924
42.0	0.13165143475316654
43.0	0.12753791387956426
44.0	0.12357320785054071
45.0	0.11988303955202184
46.0	0.116378449962383
47.0	0.11298272246347096
48.0	0.1097310081478895
49.0	0.1066146200407303
50.0	0.10360639760014578
51.0	0.10078302079038792
