#Duplication rate	Coverage
1.0	3495445.0
2.0	1113353.0
3.0	448330.0
4.0	214780.0
5.0	117546.0
6.0	71676.0
7.0	47557.0
8.0	33061.0
9.0	24129.0
10.0	18221.0
11.0	14007.0
12.0	11186.0
13.0	8794.0
14.0	7448.0
15.0	6070.0
16.0	5025.0
17.0	4257.0
18.0	3775.0
19.0	3214.0
20.0	2832.0
21.0	2453.0
22.0	2269.0
23.0	1967.0
24.0	1697.0
25.0	1614.0
26.0	1401.0
27.0	1249.0
28.0	1135.0
29.0	1070.0
30.0	944.0
31.0	862.0
32.0	876.0
33.0	793.0
34.0	690.0
35.0	622.0
36.0	592.0
37.0	558.0
38.0	526.0
39.0	511.0
40.0	468.0
41.0	419.0
42.0	439.0
43.0	395.0
44.0	341.0
45.0	383.0
46.0	311.0
47.0	303.0
48.0	235.0
49.0	322.0
50.0	9653.0
