#Mapping quality	mapping quality
0.0	1940960.0
1.0	1.4846398E7
2.0	24811.0
3.0	28588.0
4.0	28916.0
5.0	29125.0
6.0	25982.0
7.0	22407.0
8.0	22036.0
9.0	20733.0
10.0	26303.0
11.0	10249.0
12.0	32776.0
13.0	8109.0
14.0	11253.0
15.0	42219.0
16.0	6715.0
17.0	15359.0
18.0	8901.0
19.0	7252.0
20.0	72682.0
21.0	5633.0
22.0	8854.0
23.0	10995.0
24.0	23226.0
25.0	7991.0
26.0	13957.0
27.0	10783.0
28.0	8965.0
29.0	4919.0
30.0	163735.0
31.0	5475.0
32.0	10410.0
33.0	13269.0
34.0	15146.0
35.0	8984.0
36.0	28717.0
37.0	14956.0
38.0	12654.0
39.0	7874.0
40.0	72525.0
41.0	12598.0
42.0	13636.0
43.0	23989.0
44.0	12096.0
45.0	48600.0
46.0	23979.0
47.0	13996.0
48.0	38965.0
49.0	21358.0
50.0	40464.0
51.0	30441.0
52.0	33954.0
53.0	35100.0
54.0	40137.0
55.0	39987.0
56.0	38914.0
57.0	33601.0
58.0	28546.0
59.0	16826.0
60.0	1.02772501E8
